,location,text
309,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
310,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
311,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
312,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
313,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
314,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
315,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
316,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
317,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
318,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
319,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
320,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
321,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
322,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
323,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
324,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
325,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
326,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
327,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
328,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
329,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
330,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
331,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
332,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
333,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
334,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
335,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
336,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
337,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
338,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
339,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
340,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
341,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
342,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
343,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
344,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
345,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
346,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
347,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
348,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
349,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
350,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
351,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
352,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
353,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
354,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
355,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
356,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
357,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
358,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
359,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
360,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
361,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
362,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
363,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
364,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
365,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
366,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
367,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
368,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
369,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
370,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
371,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
372,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
373,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
374,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
375,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
376,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
377,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
378,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
379,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
380,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
381,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
382,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
383,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
384,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
385,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
386,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
387,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
388,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
389,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
390,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
391,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
392,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
393,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
394,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
395,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
396,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
397,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
398,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
399,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
400,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
401,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
402,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
403,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
404,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
405,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
406,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
407,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
408,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
409,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
410,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
411,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
412,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
413,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
414,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
415,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
416,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
417,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
418,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
419,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
420,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
421,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
422,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
423,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
424,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
425,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
426,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
427,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
428,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
429,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
430,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
431,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
432,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
433,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
434,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
435,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
436,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
437,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
438,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
439,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
440,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
441,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
442,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
443,"Sydney, New South Wales",@maurie_mulheron @GlennFowlerAEU My grandkids are smart and very quick to smell any stuff being peddled at them. Th… https://t.co/XqvdoKAyCI
444,Zayn Malik ,RAINHA SENSATA ESMURRANDO O TRUMP https://t.co/ve1Sqn5Hnn
445,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
446,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
447,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
448,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
449,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
450,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
451,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
452,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
453,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
454,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
455,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
456,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
457,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
458,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
459,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
460,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
461,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
462,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
463,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
464,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
465,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
466,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
467,Vietnam,"Đệ nhất Phu nhân Mỹ Melania Trump tự tay chăm con, không cần bảo mẫu https://t.co/39Q2atdruI https://t.co/b0XEY4YT7v"
468,LAND OF REASON,"@DanRather Never Forget becomes a hallo promise, Injustice continue. TODAY We still have to fight anti semitism, IS… https://t.co/rDe0Zu4D14"
469,"Missouri, USA",@mikeglass53 @jeriejam Secretary Wilkie ain't bad so far from what I have seen. tRump might have listened to an adv… https://t.co/HSEdb9CNPj
470,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
471,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
472,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
473,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
474,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
475,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
476,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
477,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
478,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
479,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
480,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
481,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
482,"Corning, NY",Trump's Acting AG Calls Out Dem Committee Chair | TrumpTrain https://t.co/VQXIQpptWa
483,Canada,"https://t.co/tfOxbZNHBg
#MAGA #Trump #KAG #Trump2020 #Smollett #JessieSmollett #CovingtonBoys… https://t.co/I1aplxwByE"
484,United States,@TomSteyer You forgot that trump isn't elected to serve Russia but he does.
485,Washington,"People found out their tax refund either shrunk or  owe money to IRS.
What happens when you voted for a con artist… https://t.co/wuHjskJjnV"
486,Tennessee ,@Atheistoner @GracieNunyabiz @tnacgal @justjudionna @debriley1997 @wilma7771 @Mspen219 @TN_SillyMan @VoteMarsha… https://t.co/Mp83HUrq4Q
487,Arizona,@GayPatriot But! But! https://t.co/Rm5VfacGgx
488,First Failed State in the Western World,"@FaihaD @danny_buder @clean_planet1 Dear god ...

The United States federal government has brought formal charges a… https://t.co/aDH7zJLVnu"
489,"The Villages, FL","@WhiteHouse @realDonaldTrump @FLOTUS Pres. Trump was great during the recent SOTU, but he needs to speak straight t… https://t.co/vVh1M2DWU8"
490,ᴏʜ ᴡᴏᴡ ᴄʜɪʟᴇ ᴏᴛᴏᴋᴇ ,me parece un poco chistoso como esta tipa apoya a trump y todo lo que esto con lleva (racismo y xenofobia) contra su misma gente
491,"Las Vegas, A.C. & Toronto",@RayStone81 @FaccionUSA @WSJ When people were mad at Trump not blaming Putin in public or hiding the notes from the… https://t.co/fyqsdc80Fu
492,Not ,@cspan @amyklobuchar Trump could stand in the cold his fat would keep him wwwarm burrrr.
493,"The Milky Way Galaxy, Universe",Democrat Schiff questions if Mueller probing Trump-Deutsche Bank link - https://t.co/8fyf7w3dSo via @_feedspot
494,The Third Coast,@manny_ottawa @canusada @realDonaldTrump @POTUS Neither Clinton’s nor Obama’s riches can compare to Trump’s riches.… https://t.co/mizTY0CEC1
495,usa ,"@RepAdamSchiff Mr. Schiff, please just stop. Find someone else to harass. President Trump is not the bad guy you want him to be."
496,United States,"@AJPTyler You assumed I voted for trump.  
How dumb is that? 
He had 3 million fewer votes than Hillary."
497,"Albany, Saratoga, New York",Part African American part Latina Joy Villa wears pro Trump border wall dress to protect her people #GRAMMYs  https://t.co/dm3DJ3DSNT
